Review Text,Review Title,Review Submit Date and Time
별 1개도 아까워요 문제를 찍었는데 계속 이상한 답을 말해 줘요 마이너스100입니다.... 계~~속 광고도 뜨고 카메라도 안켜 집니다 어이없네,,2018-03-02T05:49:29Z
좋음,,2018-03-02T06:05:36Z
이건 진짜 신이 만들었다...,,2018-02-23T01:27:58Z
좋긴 한데..어떻게 질문하나요? ➡️질문은 어떻게 하나요? ➡️선생님께 물어보고 싶은데 자꾸 콴다 어시스턴트가 비슷한문제들을 보여줘요 ➡️가넷이 무엇인가요? ➡️가넷은 어떻게 사용하나요?,,2018-03-02T06:25:09Z
,,2018-03-02T06:36:56Z
정말 좋은 선생님들이 계셔서 좋은것같아요!,,2018-03-02T06:37:54Z
선생님들 다들 최고시고 모르는문제있으면 찍어서 보내면 진짜 5초후 풀이나옵니다! 정말좋아요.,,2018-03-02T06:48:13Z
와 힘든문제가있으면 이걸사용하는데...답정도는보여주지마세요개인적인의견이지만 학생들이시험을봐도이앱을사용할수없잖아요 학생들도 노력이라는걸해야하니까답정도는보여주지않아도될꺼같숩니다.식보여주고 풀어보자이런마인드가좋은거같습니다.,,2018-03-02T06:57:34Z
너무너무 최고예요! 3초 후에 풀이와 답이 나오니까 이해도 잘되고 실력도 느네요! 부모님께서도 흐뭇해하십니다♡,,2018-03-02T07:02:22Z
너무 쓰기 좋고 친절하셔요 &gt;_&lt;,,2018-03-02T07:04:19Z
선생님들이 친절하시고 문제도 잘풀어 주셔서 좋아요!,,2018-03-02T07:11:35Z
,,2018-03-02T07:13:32Z
캬 이건 별10개다,,2018-03-02T07:16:06Z
문제집답지를 잊어버렸는데 좋은것 같네요,,2018-03-02T07:23:03Z
완전!최고에요!,,2018-03-02T07:31:30Z
"진짜좋음!바로바로 질문도되고,혼자 공부하기 진짜 좋음!강추!",,2018-03-02T07:31:42Z
펴리해요ㅜㅜ감ㅅㅏㅎ,,2018-03-02T07:35:42Z
좋네요,,2018-03-02T07:36:53Z
도움됬어요!,,2018-03-02T07:38:22Z
,,2018-03-02T07:43:05Z
요즘 시대가 좋아졌네요!!정말 잘 풀어주시고 근데 문제가 조금 더 다양했음좋겠어요!!쨌든 너무너무 좋아요!,,2018-03-02T08:14:23Z
개좋음,,2018-03-02T08:32:41Z
모르는 문제있이음 바로 나오고 풀이도 있고 정말 편리함,,2018-03-02T08:39:23Z
,,2018-03-02T08:41:53Z
,,2018-03-02T08:48:26Z
제가 써본앱중에서 젤 좋아요♡,,2018-03-02T08:53:47Z
이거 진짜 좋아요 여러분 ㅠㅠㅠㅠ 모르는 문제 바로 답 오고 진짜 너무 좋습니다 ㅠㅠ 좋다는 말밖에 안 나오네요 ㅠㅠ,,2018-03-02T08:54:35Z
여러가지 문제집이 다 풀이가있음,,2018-03-02T09:09:29Z
짱.,,2018-03-02T09:11:27Z
,,2018-03-02T09:19:53Z
선생님들 잘해주시고 굉장히 빠른답변이여서 좋네요ㅎㅎ,,2018-03-02T09:25:00Z
,,2018-03-02T09:27:36Z
좋네여! 학원에서 쌤 바쁠때 찍어서 보면 되서 편하네요! 앞으로 지속적인 개발 부탁드립니다.,,2018-03-02T09:56:52Z
,,2018-03-02T09:58:53Z
오오 대박 좋네요,,2018-03-02T10:11:13Z
바로나오는거 신기해용,,2018-03-02T10:14:05Z
,,2018-03-02T10:14:33Z
,,2018-03-02T10:39:27Z
이거교과서문제도 인식하고 짱좋아요♡♡~~♡♡,,2018-03-02T10:41:55Z
,,2018-03-02T10:44:22Z
진짜최고,,2018-03-02T10:45:36Z
,,2018-03-02T10:51:27Z
과외 숙제하거나 혼자 문제풀 때 정말 유용합니다 잘 쓰고 있어요 !,,2018-03-02T10:54:40Z
좋아용,,2018-03-02T11:02:53Z
좋아엿모르는문제도 척척,,2018-03-02T11:16:28Z
,,2018-03-02T11:19:42Z
,,2018-03-02T11:31:37Z
문제 답뿐만이아니라 풀이과정까지 알려줘서 좋았습니다,,2018-03-02T11:35:14Z
풀이과정까지 나오고 전문 분야 선생님께 질문할 수 있어 좋은것 같아요!,,2018-03-02T11:36:42Z
잘 쓰고있어요!,,2018-03-02T11:41:43Z
정말조으게잘쓰고있습니다~~,,2018-03-02T11:46:22Z
진짜 좋아요,,2018-03-02T12:01:51Z
편해용,,2018-03-02T12:03:11Z
한마디로표현 존좋,,2018-03-02T12:07:57Z
모르는 문제를 사진만 찍으면 5초도 안걸려서 풀이가 나오네요ㅠㅠㅠ진짜 콴다 사랑합니다♥♥,,2018-03-02T12:10:09Z
"정확한 풀이, 유사 문제, 또 다양한 선생님들의 답변까지 공부하는데 정말 도움이 돼요~!",,2018-03-02T12:10:45Z
짱 빠름 좋아요,,2018-03-02T12:22:55Z
넘나좋아요,,2018-03-02T12:32:59Z
가넷이업거나 질문권이 없으면 질문을 못해여ㅠㅜ 그래도 편리한것같아여,,2018-03-02T12:43:48Z
,,2018-03-02T12:48:20Z
아주 좋아요,,2018-03-02T12:51:45Z
돈내고 해야돼는지 몰랐네요 삭제 할게요 돈없어요,,2018-03-02T13:00:44Z
완전 조아요!!!,,2018-03-02T13:22:46Z
진짜 혼자서 모르는 문제 끙끙되지 마시고 이어플 깔아서 하면 순식간에 풀이가 쌱 진짜 조아요,,2018-03-02T13:30:49Z
도움 많이 돼요,,2018-03-02T13:40:07Z
말할필요가없다 갓콴다... 찬양하라,,2018-03-02T13:46:59Z
꿀앱!,,2018-03-02T13:55:26Z
,,2018-03-02T13:59:07Z
너무좋아용,,2018-03-02T14:06:45Z
풀이도 나오고 정답도 나오고 공부앱 중에서는 짱이네용.,,2018-03-02T14:11:12Z
,,2018-03-02T14:12:38Z
,,2018-03-02T14:20:37Z
진짜 혼자공부할때 쓰기 너무 편해요!! 좋은앱 하나 더 알고가요~,,2018-03-02T14:23:20Z
너무 좋아요 !!,,2018-03-02T14:43:22Z
,,2018-03-02T14:43:53Z
너무조아여!,,2018-03-02T14:53:55Z
와!!!!!괜히 유트브 광고에 나오고 교육 2윈지 알게씀 와 진짜 짱!!!이렇게 좋은앱 발견하도 어러운데 진짜 대박😍😍😍,,2018-03-02T15:13:35Z
완벽 그자체!!,,2018-03-02T15:50:12Z
왠만해서는 리뷰 안남기는데 속도와 자료량으로 봤을때 최고라고 생각합니다. 문제집을 전부 다 입력시켜 놓은건지 답이 바로바로 나오고 없는 문제는 선생님한테 질문도 할 수 있게 해놓아서 정말 좋네요.,,2018-03-02T15:59:13Z
정말수학 문제에 필수 인 앱 콴다 !!,,2018-03-02T16:08:54Z
이앱 방금 써봤지만 정말 좋아요.. 앞으로 유용하게 쓸수 있을것 같네요:),,2018-03-02T16:35:59Z
좋아여,,2018-03-02T17:48:56Z
,,2018-03-02T22:46:12Z
완전좋네요,,2018-03-03T00:00:37Z
되게 편해요♥,,2018-03-03T00:07:23Z
좋아요,,2018-03-03T00:13:06Z
,,2018-03-03T00:19:19Z
친구추천으로 깔았는데 정말 좋네요. ㅎ,,2018-03-03T00:22:15Z
정말 좋아요 모르는문제도 찾아보기 좋고 해설까지 나와서 정말 좋습니다.,,2018-03-03T00:53:39Z
,,2018-03-03T00:59:44Z
감사합니다,,2018-03-03T01:23:10Z
최고네요,,2018-03-03T01:33:16Z
매우 좋다,,2018-03-03T01:34:57Z
완전 좋아용 &gt;_&lt; 모르는 문제 때문에 아버지께 물어보는데 이 앱 때문에 편하네용 감사합니다,,2018-03-03T01:45:15Z
,,2018-03-03T01:58:54Z
진짜 대박 좋습니다 선생님께 자꾸 여쭤보기 좀 그랬는데 풀이 해설까지 완전 좋아요,,2018-03-03T02:00:36Z
,,2018-03-03T02:21:20Z
,,2018-03-03T02:31:26Z
문제량이 진짜 엄청나네요 ㄷㄷ 잘사용하고있습니다 큰 도움이 되고있어요!! 성적상승을 도와주는 콴다 최고!!,,2018-03-03T02:46:42Z
완전 최고에요! 수학공부에서 모르는 문제를 기다리지 않고 공부할 수 있어서 좋아요,,2018-03-03T02:47:24Z
가끔씩 지식인에 질문하였을때는 질문이 무료였지만 답만 적어놓고 가시는분이나 틀린답을 적어놓고 가시는분이 종종있는데 하지만 콴다 어시스트는 무료에 답도 바로나오고 선생님분들이 풀이를 볼수있고 틀린답도 있지만 풀이가 여러가지라 맞는답을 비교해가며 찾을수있어 정말 좋은거 같습니다.,,2018-03-03T02:43:47Z
,,2018-03-03T03:26:29Z
광고 보고 깔았는데 좋네요!,,2018-03-03T03:38:36Z
너무 좋은거 같아요!,,2018-03-03T04:19:34Z
,,2018-03-03T04:26:09Z
속도나 다양성 면에서 검색도 빠르고 대부분의 문제가 모두 있어 좋아요,,2018-03-03T04:30:27Z
저 리뷰 한번도 안남겨봤는데 이 어플 진짜 좋아요!!!!♡♡,,2018-03-03T04:31:05Z
진짜 좋음,,2018-03-03T04:41:05Z
진짜 짱 좋아요,,2018-03-03T04:53:45Z
,,2018-03-03T05:02:28Z
,,2018-03-03T05:04:47Z
이거 정말 대박 입니다 :),,2018-03-03T05:08:48Z
,,2018-03-03T05:14:57Z
,,2018-03-03T05:17:31Z
,,2018-03-03T05:22:01Z
,,2018-03-03T05:26:56Z
,,2018-03-03T05:52:34Z
,,2018-03-03T05:54:42Z
풀이를 자세히 설명해주는게 유료여서 아쉽지만 어려운 문제 풀때 유용해요ㅎㅎ 나의 최애앱 될것 같다ㅎ,,2018-03-03T06:05:39Z
너무 좋아요! 이앱 꼭깔아보세요,,2018-03-03T06:12:26Z
리뷰보니깐 편히 써도될거같더라구요 ! 믿고 잘 사용할게요 ❤,,2018-03-03T06:13:21Z
개좋음,,2018-03-03T06:18:09Z
진짜 너무 강추,,2018-03-03T06:19:22Z
너무 좋아요,,2018-03-03T06:31:24Z
생각보다 넘 좋네요~,,2018-03-03T06:44:08Z
문제를 적확하게 풀이도 잘 됩니다!,,2018-03-03T06:43:55Z
이 앱은 나를 수포자에서 탈출하게 해주었다. 이앱은 정말 수포자들에게 꼭필요한 앱이다. (단점이라면 무료질문권을 많이주셨으면..ㅎㅎ),,2018-03-03T06:45:48Z
Good,,2018-03-03T06:49:39Z
,,2018-03-03T07:03:52Z
좋아용~!,,2018-03-03T07:04:40Z
수학에 도움이 되서 좋아요,,2018-03-03T07:07:53Z
사진찍고 진짜 5초내로 풀이가 검색되는게 너무 신기해요 답지봐도 이해안되서 학원다니는데 또 선생님께 질문하는것도 있어서 더더욱 좋은거같습니다,,2018-03-03T07:08:19Z
모르는 문제를 빠르게 해결 할 수 있어서 좋네요,,2018-03-03T07:22:38Z
답변을 금방금방해주셔서 좋아용,,2018-03-03T07:24:33Z
좋아요,,2018-03-03T07:32:07Z
왠만하면 리뷰를 안남기는 사람인데 이앱은 최고여서 리뷰남기는거임,,2018-03-03T07:35:42Z
좋아요!,,2018-03-03T07:47:39Z
좋아용,,2018-03-03T07:55:54Z
독학할때 최고네요 짱!,,2018-03-03T07:56:38Z
